# Time, Wall Area, Wall Volume, Lumen Volume, Wall Area Ratio, Wall Volume Ratio, Lumen Volume Ratio, Average J, Average I1, Average J Ratio, Average I1 Ratio, No. of Frames, Open Frame, Closing Frame, Ref Frame
3.700000000000000000e+02,2.697476608249115998e+03,9.013100319323766598e+03,1.754555227130877756e+04,1.021113683255745030e+00,1.105354314872414978e+00,1.001671471574777428e+00,1.015704466771228720e+00,2.046361938320137686e+00,1.015704466771228720e+00,1.023180969160068843e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
3.800000000000000000e+02,2.695459667309404267e+03,9.048824057518786503e+03,1.749204105087833159e+04,1.020350182291339891e+00,1.109735425340316883e+00,9.986165285279302584e-01,1.014845504346793215e+00,2.045119911173712612e+00,1.014845504346793215e+00,1.022559955586856306e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
3.900000000000000000e+02,2.693442726369692537e+03,9.084547795713808227e+03,1.743852983044788562e+04,1.019586681326934752e+00,1.114116535808218789e+00,9.955615854810831999e-01,1.013986541922357487e+00,2.043877884027287539e+00,1.013986541922357487e+00,1.021938942013643770e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
4.000000000000000000e+02,2.692316549445426062e+03,9.112077557450083987e+03,1.740201490014893716e+04,1.019160373768374761e+00,1.117492748192913998e+00,9.934769566588369516e-01,1.013457486396425411e+00,2.043278588207958268e+00,1.013457486396425411e+00,1.021639294103979134e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
4.100000000000000000e+02,2.693268821890531399e+03,9.120488040782624012e+03,1.740515798015681139e+04,1.019520850823453229e+00,1.118524198383461066e+00,9.936563943606591121e-01,1.013698213633667855e+00,2.044178998818518611e+00,1.013698213633667855e+00,1.022089499409259306e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
4.200000000000000000e+02,2.694221094335637190e+03,9.128898524115164037e+03,1.740830106016468562e+04,1.019881327878531696e+00,1.119555648574007911e+00,9.938358320624813835e-01,1.013938940870910521e+00,2.045079409429078954e+00,1.013938940870910521e+00,1.022539704714539477e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
4.300000000000000000e+02,2.695173366780742981e+03,9.137309007447702243e+03,1.741144414017255986e+04,1.020241804933610386e+00,1.120587098764554757e+00,9.940152697643036550e-01,1.014179668108152965e+00,2.045979820039639296e+00,1.014179668108152965e+00,1.022989910019819648e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
4.400000000000000000e+02,2.696125639225848772e+03,9.145719490780242268e+03,1.741458722018043773e+04,1.020602281988688853e+00,1.121618548955101602e+00,9.941947074661258155e-01,1.014420395345395631e+00,2.046880230650199639e+00,1.014420395345395631e+00,1.023440115325099820e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
4.500000000000000000e+02,2.697077911670954563e+03,9.154129974112782293e+03,1.741773030018831196e+04,1.020962759043767321e+00,1.122649999145648447e+00,9.943741451679480869e-01,1.014661122582638075e+00,2.047780641260759982e+00,1.014661122582638075e+00,1.023890320630379991e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
4.600000000000000000e+02,2.698030184116059900e+03,9.162540457445320499e+03,1.742087338019618619e+04,1.021323236098845788e+00,1.123681449336195515e+00,9.945535828697703584e-01,1.014901849819880741e+00,2.048681051871320324e+00,1.014901849819880741e+00,1.024340525935660162e+00,1.800000000000000000e+01,3.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00
